"","date","new_cases","new_deaths","total_cases","total_deaths","growth_factor","death_percentage","MA_growth_factor","MA_new_cases"
"35",2020-02-03,3,0,11,0,3,0,NA,0.785714285714286
"36",2020-02-04,0,0,11,0,0,0,NA,0.714285714285714
"37",2020-02-05,0,0,11,0,NA,0,NA,0.714285714285714
"38",2020-02-06,1,0,12,0,1,0,NA,0.785714285714286
"39",2020-02-07,0,0,12,0,0,0,NA,0.785714285714286
"40",2020-02-08,0,0,12,0,NA,0,NA,0.714285714285714
"41",2020-02-09,0,0,12,0,NA,0,NA,0.714285714285714
"42",2020-02-10,0,0,12,0,NA,0,NA,0.5
"43",2020-02-11,1,0,13,0,1,0,NA,0.571428571428571
"44",2020-02-12,0,0,13,0,0,0,NA,0.571428571428571
"45",2020-02-13,1,0,14,0,1,0,NA,0.642857142857143
"46",2020-02-14,1,0,15,0,1,0,NA,0.642857142857143
"47",2020-02-15,0,0,15,0,0,0,NA,0.571428571428571
"48",2020-02-16,0,0,15,0,NA,0,NA,0.5
"49",2020-02-17,0,0,15,0,NA,0,NA,0.285714285714286
"50",2020-02-18,0,0,15,0,NA,0,NA,0.285714285714286
"51",2020-02-19,0,0,15,0,NA,0,NA,0.285714285714286
"52",2020-02-20,0,0,15,0,NA,0,NA,0.214285714285714
"53",2020-02-21,1,0,16,0,1,0,NA,0.285714285714286
"54",2020-02-22,19,0,35,0,19,0,NA,1.64285714285714
"55",2020-02-23,0,0,35,0,0,0,NA,1.64285714285714
"56",2020-02-24,0,0,35,0,NA,0,NA,1.64285714285714
"57",2020-02-25,18,0,53,0,18,0,NA,2.85714285714286
"58",2020-02-26,0,0,53,0,0,0,NA,2.85714285714286
"59",2020-02-27,6,0,59,0,6,0,NA,3.21428571428571
"60",2020-02-28,1,0,60,0,0.166666666666667,0,NA,3.21428571428571
"61",2020-02-29,6,0,66,0,6,0,NA,3.64285714285714
"62",2020-03-01,3,1,69,1,0.5,0.0144927536231884,NA,3.85714285714286
"63",2020-03-02,20,1,89,2,6.66666666666667,0.0224719101123595,NA,5.28571428571429
"64",2020-03-03,14,4,103,6,0.7,0.058252427184466,NA,6.28571428571429
"65",2020-03-04,22,3,125,9,1.57142857142857,0.072,NA,7.85714285714286
"66",2020-03-05,34,2,159,11,1.54545454545455,0.0691823899371069,NA,10.2857142857143
"67",2020-03-06,74,1,233,12,2.17647058823529,0.0515021459227468,NA,15.5
"68",2020-03-07,105,2,338,14,1.41891891891892,0.0414201183431953,NA,21.6428571428571
"69",2020-03-08,95,3,433,17,0.904761904761905,0.0392609699769053,NA,28.4285714285714
"70",2020-03-09,121,4,554,21,1.27368421052632,0.0379061371841155,3.35171800518992,37.0714285714286
"71",2020-03-10,200,5,754,26,1.65289256198347,0.0344827586206897,2.18406747390303,50.0714285714286
"72",2020-03-11,271,2,1025,28,1.355,0.0273170731707317,2.28085318818874,69.4285714285714
"73",2020-03-12,287,2,1312,30,1.0590405904059,0.0228658536585366,1.92792751607488,89.5
"74",2020-03-13,351,10,1663,40,1.22299651567944,0.0240529164161155,2.00337964814722,114.5
