"","date","total_cases","new_cases","total_deaths","new_deaths","growth_factor","death_percentage","MA_growth_factor","MA_new_cases","MA_new_deaths","gf_14"
"43",2020-03-04,116,35,13,4,1.84210526315789,0.112068965517241,1.74315523657629,7.28571428571429,0.785714285714286,1.52238805970149
"44",2020-03-05,182,66,14,1,1.88571428571429,0.0769230769230769,1.75412131727921,12,0.857142857142857,1.64705882352941
"45",2020-03-06,231,49,19,5,0.742424242424242,0.0822510822510823,1.58046164361954,15.2857142857143,1.21428571428571,1.27380952380952
"46",2020-03-07,377,146,22,3,2.97959183673469,0.0583554376657825,1.80966101567605,25.7142857142857,1.42857142857143,1.68224299065421
"47",2020-03-08,492,115,25,3,0.787671232876712,0.0508130081300813,1.7366617454761,33.9285714285714,1.64285714285714,1.31944444444444
"48",2020-03-09,754,262,31,6,2.27826086956522,0.0411140583554377,1.82796609330219,52.5714285714286,2.07142857142857,1.54947368421053
"49",2020-03-10,1039,285,34,3,1.08778625954198,0.0327237728585178,1.9056651118409,72.9285714285714,2.28571428571429,1.38722826086957
"50",2020-03-11,1388,349,40,6,1.22456140350877,0.0288184438040346,1.85027664066296,97.7142857142857,2.71428571428571,1.33986287952987
"51",2020-03-12,1799,411,44,4,1.17765042979943,0.0244580322401334,1.89868024279149,127,3,1.29970760233918
"52",2020-03-13,2342,543,51,7,1.32116788321168,0.0217762596071734,1.85019223444946,165.642857142857,3.5,1.30427446569179
"53",2020-03-14,2973,631,61,10,1.16206261510129,0.0205179952909519,1.54033956409956,209.928571428571,4.14285714285714,1.26735661923243
"54",2020-03-15,3784,811,72,11,1.28526148969889,0.0190274841437632,1.59318291725987,267.428571428571,4.92857142857143,1.27390268798911
"55",2020-03-16,4754,970,101,29,1.1960542540074,0.0212452671434581,1.41671060206992,335.142857142857,6.64285714285714,1.25320512820513
"56",2020-03-17,6302,1548,120,19,1.59587628865979,0.0190415741034592,1.46901345385731,444.357142857143,7.92857142857143,1.32587382779199
"57",2020-03-18,9220,2918,161,41,1.88501291989664,0.0174620390455531,1.4720782864815,650.285714285714,10.5714285714286,1.46343031666935
"58",2020-03-19,14242,5022,223,62,1.72104180945853,0.0156579132144362,1.46031596674895,1004.28571428571,14.9285714285714,1.54437609841828
"59",2020-03-20,19157,4915,267,44,0.978693747510952,0.0139374641123349,1.47719235996943,1351.85714285714,17.7142857142857,1.34608819345661
"60",2020-03-21,26480,7323,353,86,1.48992878942014,0.0133308157099698,1.37078785658982,1864.5,23.6428571428571,1.37921377998521
"61",2020-03-22,33767,7287,447,94,0.995083981974601,0.0132377765273788,1.38560305295395,2376.78571428571,30.1428571428571,1.27475769068689
"62",2020-03-23,43904,10137,597,150,1.39110745162618,0.0135978498542274,1.32223495167259,3082.14285714286,40.4285714285714,1.29676934635612
